City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lavrentiya,RU,2022-09-12 16:27:07,65.5833,-171.0,44.02,99,100,6.98
1,Barrow,US,2022-09-12 16:19:09,71.2906,-156.7887,33.82,100,100,19.57
2,Sorland,NO,2022-09-12 16:27:48,67.667,12.6934,51.66,83,100,12.35
3,Twentynine Palms,US,2022-09-12 16:27:49,34.1356,-116.0542,78.84,67,32,3.13
4,Yatou,CN,2022-09-12 16:27:49,37.15,122.3833,66.25,86,51,2.75
5,Puerto Escondido,MX,2022-09-12 16:23:16,15.85,-97.0667,81.43,61,75,0.0
6,Kyotera,UG,2022-09-12 16:27:50,-0.6156,31.5175,72.32,65,88,7.92
7,Samarai,PG,2022-09-12 16:24:25,-10.6167,150.6667,79.74,82,13,7.67
8,Dawlatabad,AF,2022-09-12 16:27:50,36.4141,64.9053,68.34,15,0,3.24
9,Bredasdorp,ZA,2022-09-12 16:27:03,-34.5322,20.0403,55.85,61,43,11.14
10,Hobart,AU,2022-09-12 16:21:55,-42.8794,147.3294,42.66,75,100,8.05
11,Bubaque,GW,2022-09-12 16:27:51,11.2833,-15.8333,79.74,81,85,16.71
12,Oranjestad,AW,2022-09-12 16:25:46,12.524,-70.027,91.35,55,20,16.11
13,Nikolskoye,RU,2022-09-12 16:17:57,59.7035,30.7861,57.09,71,86,3.56
14,Faanui,PF,2022-09-12 16:18:03,-16.4833,-151.75,78.76,70,100,17.43
15,Bluff,NZ,2022-09-12 16:27:10,-46.6,168.3333,48.79,69,100,20.04
16,Klaksvik,FO,2022-09-12 16:26:42,62.2266,-6.589,52.72,97,84,17.16
17,Tasiilaq,GL,2022-09-12 16:19:17,65.6145,-37.6368,55.56,54,28,8.37
18,Hanmer Springs,NZ,2022-09-12 16:27:52,-42.5167,172.8167,46.02,68,64,16.89
19,Kaitangata,NZ,2022-09-12 16:27:53,-46.2817,169.8464,43.0,92,71,10.31
20,Mataura,NZ,2022-09-12 16:26:48,-46.1927,168.8643,48.47,98,99,4.99
21,Ushuaia,AR,2022-09-12 16:26:42,-54.8,-68.3,46.06,53,0,4.61
22,Port Alfred,ZA,2022-09-12 16:17:58,-33.5906,26.891,56.17,76,8,3.0
23,Albany,US,2022-09-12 16:26:58,42.6001,-73.9662,71.64,86,100,0.85
24,Dikson,RU,2022-09-12 16:27:54,73.5069,80.5464,38.21,68,100,22.93
25,Baturaja,ID,2022-09-12 16:27:54,-4.1333,104.1667,73.56,96,58,2.68
26,Kabalo,CD,2022-09-12 16:27:55,-6.05,26.9167,86.88,43,70,1.77
27,Kapaa,US,2022-09-12 16:27:09,22.0752,-159.319,73.38,90,75,4.61
28,Umea,SE,2022-09-12 16:27:55,63.8284,20.2597,55.33,76,0,4.61
29,Caravelas,BR,2022-09-12 16:20:40,-17.7125,-39.2481,80.06,48,6,8.28
30,Goderich,CA,2022-09-12 16:27:56,43.7501,-81.7165,67.91,88,97,11.5
31,Ulladulla,AU,2022-09-12 16:27:56,-35.35,150.4667,50.9,88,100,9.64
32,Halmstad,SE,2022-09-12 16:27:57,56.6745,12.8568,64.51,72,0,4.61
33,Georgetown,MY,2022-09-12 16:15:42,5.4112,100.3354,84.88,86,20,3.44
34,Rikitea,PF,2022-09-12 16:26:44,-23.1203,-134.9692,72.39,71,99,4.03
35,Sioux Lookout,CA,2022-09-12 16:27:57,50.1001,-91.917,64.47,63,75,3.44
36,Iseyin,NG,2022-09-12 16:27:58,7.9667,3.6,76.77,89,100,5.48
37,Nouadhibou,MR,2022-09-12 16:27:58,20.931,-17.0347,73.44,85,33,22.26
38,Cabedelo,BR,2022-09-12 16:27:58,-6.9811,-34.8339,84.87,63,16,14.34
39,Jamestown,US,2022-09-12 16:26:48,42.097,-79.2353,70.52,91,75,10.36
40,Cape Town,ZA,2022-09-12 16:26:09,-33.9258,18.4232,60.28,58,0,14.97
41,Ahuimanu,US,2022-09-12 16:20:31,21.4447,-157.8378,76.86,87,75,6.91
42,Auki,SB,2022-09-12 16:23:19,-8.7676,160.7034,75.45,85,35,4.23
43,Nioro,GM,2022-09-12 16:27:59,13.35,-15.75,83.41,79,88,7.58
44,Lichuan,CN,2022-09-12 16:28:00,30.3,108.85,62.1,87,84,1.72
45,Northam,GB,2022-09-12 16:29:00,51.0333,-4.2167,71.62,79,100,5.95
46,Saint George,US,2022-09-12 16:29:01,37.1041,-113.5841,78.8,53,0,9.22
47,Hilo,US,2022-09-12 16:28:47,19.7297,-155.09,73.27,73,40,6.91
48,Logan Lake,CA,2022-09-12 16:29:01,50.4998,-120.8025,46.24,36,82,2.13
49,Victoria,HK,2022-09-12 16:18:54,22.2855,114.1577,88.32,62,2,5.01
50,Bafq,IR,2022-09-12 16:29:02,31.6128,55.4107,85.77,14,0,13.02
51,Ternate,ID,2022-09-12 16:25:47,0.8,127.4,79.95,80,98,3.24
52,Punta Arenas,CL,2022-09-12 16:26:44,-53.15,-70.9167,48.31,49,0,17.27
53,Blagodatnoye,RU,2022-09-12 16:29:03,45.3997,42.5867,73.62,52,82,13.76
54,Kashi,CN,2022-09-12 16:29:03,39.4547,75.9797,79.81,21,70,15.66
55,Hermanus,ZA,2022-09-12 16:26:47,-34.4187,19.2345,58.8,65,34,5.39
56,Tuatapere,NZ,2022-09-12 16:25:52,-46.1333,167.6833,41.99,90,99,5.68
57,Khatanga,RU,2022-09-12 16:29:04,71.9667,102.5,34.59,70,25,7.67
58,Olinda,BR,2022-09-12 16:22:01,-8.0089,-34.8553,82.13,61,20,12.66
59,Krasnorechenskiy,RU,2022-09-12 16:29:05,44.6265,135.3532,58.41,96,19,4.07
60,Yellowknife,CA,2022-09-12 16:29:06,62.456,-114.3525,43.32,75,75,2.3
61,Aklavik,CA,2022-09-12 16:29:06,68.2191,-135.0107,39.2,100,0,2.3
62,Erzin,TR,2022-09-12 16:24:32,36.9559,36.2,75.69,82,0,6.67
63,Obera,AR,2022-09-12 16:29:07,-27.4871,-55.1199,77.72,30,5,5.21
64,Mar Del Plata,AR,2022-09-12 16:29:07,-38.0023,-57.5575,64.42,78,0,10.0
65,Marrakesh,MA,2022-09-12 16:29:08,31.6315,-8.0083,84.27,42,75,6.91
66,Leningradskiy,RU,2022-09-12 16:23:02,69.3833,178.4167,35.2,85,85,6.55
67,Fort Nelson,CA,2022-09-12 16:29:08,58.8053,-122.7002,40.59,81,75,0.0
68,New Norfolk,AU,2022-09-12 16:27:13,-42.7826,147.0587,42.3,81,23,3.13
69,Busselton,AU,2022-09-12 16:29:09,-33.65,115.3333,60.06,89,88,22.19
70,Ussel,FR,2022-09-12 16:29:10,45.55,2.3167,88.47,28,32,4.38
71,Lebu,CL,2022-09-12 16:29:10,-37.6167,-73.65,53.4,63,76,6.85
72,San Vicente,AR,2022-09-12 16:29:10,-26.6167,-54.1333,67.44,79,91,5.1
73,Carnarvon,AU,2022-09-12 16:29:11,-24.8667,113.6333,68.74,78,9,18.19
74,Katsuura,JP,2022-09-12 16:29:11,35.1333,140.3,76.91,91,82,13.15
75,Upernavik,GL,2022-09-12 16:19:14,72.7868,-56.1549,40.53,97,100,2.46
76,Buncrana,IE,2022-09-12 16:29:12,55.1333,-7.45,60.57,71,73,12.17
77,Vaini,TO,2022-09-12 16:27:19,-21.2,-175.2,68.16,100,20,2.3
78,Fortuna,US,2022-09-12 16:29:12,40.5982,-124.1573,60.93,94,75,4.61
79,Ribeira Grande,PT,2022-09-12 16:24:24,38.5167,-28.7,73.8,88,75,13.8
80,Trelew,AR,2022-09-12 16:24:52,-43.249,-65.3051,55.71,47,11,16.69
81,Quelimane,MZ,2022-09-12 16:29:13,-17.8786,36.8883,82.35,57,0,11.5
82,Narbonne,FR,2022-09-12 16:29:14,43.0833,2.8333,80.02,69,90,3.76
83,Kodiak,US,2022-09-12 16:29:15,57.79,-152.4072,54.91,88,100,14.97
84,Tautira,PF,2022-09-12 16:29:15,-17.7333,-149.15,78.42,71,100,21.18
85,Mayumba,GA,2022-09-12 16:19:24,-3.432,10.6554,76.98,76,32,9.86
86,Thompson,CA,2022-09-12 16:29:16,55.7435,-97.8558,53.76,66,20,10.36
87,Mahebourg,MU,2022-09-12 16:30:16,-20.4081,57.7,70.09,78,40,9.22
88,Pevek,RU,2022-09-12 16:30:17,69.7008,170.3133,35.6,93,58,6.98
89,Chiang Rai,TH,2022-09-12 16:30:17,19.9167,99.9167,75.18,100,40,0.0
90,Colquechaca,BO,2022-09-12 16:30:18,-18.6667,-66.0167,49.71,10,13,8.61
