City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Marshfield,US,44.6689,-90.1718,79.2,67,99,5.84,overcast clouds
79,Gonzalez,US,30.5816,-87.2914,89.91,55,40,1.01,scattered clouds
80,Kodiak,US,57.79,-152.4072,51.31,87,100,4.61,light rain
81,Silos,CO,7.2052,-72.7564,52.88,77,100,5.88,overcast clouds
82,Isangel,VU,-19.55,169.2667,75.31,73,27,9.22,scattered clouds
83,Lorengau,PG,-2.0226,147.2712,81.81,71,100,8.23,overcast clouds
84,Barcelos,PT,41.5388,-8.6151,70.92,84,5,1.86,clear sky
85,Kaoma,ZM,-14.7833,24.8,65.86,35,10,6.62,clear sky
86,Cherskiy,RU,68.75,161.3,35.13,99,100,8.61,overcast clouds
87,Nome,US,64.5011,-165.4064,48.27,93,100,28.77,light rain
88,East London,ZA,-33.0153,27.9116,66.15,82,36,17.96,scattered clouds
89,Lashio,MM,22.9333,97.75,67.19,100,90,0.65,overcast clouds
90,Raton,US,36.9034,-104.4391,85.32,31,11,1.01,few clouds
91,Imperia,IT,43.9667,7.7833,69.22,80,51,5.86,broken clouds
92,Hilo,US,19.7297,-155.09,92.28,79,23,7.0,few clouds
93,Tasiilaq,GL,65.6145,-37.6368,36.34,90,100,12.39,light rain
94,Barrow,US,71.2906,-156.7887,35.28,82,100,22.15,overcast clouds
95,Georgetown,MY,5.4112,100.3354,77.95,97,20,2.3,few clouds
96,Bethel,US,41.3712,-73.414,73.65,52,32,4.0,scattered clouds
97,Severo-Kurilsk,RU,50.6789,156.125,50.54,78,13,10.85,few clouds
98,Mitu,CO,1.1983,-70.1733,77.77,92,100,2.17,overcast clouds
99,Port Blair,IN,11.6667,92.75,80.89,82,100,15.86,overcast clouds
100,Kawalu,ID,-7.3817,108.2082,71.76,97,94,1.3,overcast clouds
101,Campana,AR,-34.1687,-58.9591,73.22,46,72,11.5,broken clouds
102,Ancud,CL,-41.8697,-73.8203,46.22,57,83,10.56,broken clouds
103,Yabrud,SY,33.9674,36.6574,66.87,33,0,1.86,clear sky
104,Lebu,CL,-37.6167,-73.65,44.64,92,100,15.55,overcast clouds
105,Duluth,US,46.7833,-92.1066,67.06,97,100,23.02,mist
106,Constitucion,CL,-35.3333,-72.4167,55.83,89,100,10.29,overcast clouds
107,Mogzon,RU,51.7435,111.9606,35.38,99,100,6.98,light rain
108,Ustka,PL,54.5805,16.8619,50.65,84,98,21.59,light rain
109,Bonavista,CA,48.6499,-53.1147,55.65,81,44,10.16,scattered clouds
110,Airai,TL,-8.9266,125.4092,57.27,75,99,2.57,overcast clouds
111,Hay River,CA,60.8156,-115.7999,69.78,32,40,8.05,scattered clouds
112,Cidreira,BR,-30.1811,-50.2056,61.27,75,1,13.11,clear sky
113,Brae,GB,60.3964,-1.353,48.76,67,100,21.97,overcast clouds
114,Geraldton,AU,-28.7667,114.6,45.01,100,0,0.0,clear sky
115,Gornopravdinsk,RU,60.05,69.9,46.09,82,37,5.95,scattered clouds
